Nome,Latitude,Longitude
Servprint,-3.7317120499999996,-38.572471207354525
Colégio Farias Brito Central,-3.7315354,-38.487188
Colégio Ari de Sá Cavalcante,-3.7887883,-38.4793656942343
Colégio Antares,-3.7445972,-38.4894517
Colégio Christus,-3.7460166,-38.4678484
Colégio 7 de Setembro,-3.7396357,-38.4881497
Colégio Master,-3.7259989,-38.4934804
Colégio Santo Tomás de Aquino,-3.75280875,-38.5268741
Colégio Santa Cecília,-3.7405435,-38.4986338
Colégio Provecto,-3.7935838,-38.5697252
Colégio Lourenço Filho,-3.7441152,-38.5008456
Diretório Estadual do Partido Novo Ceará,-3.7361949,-38.4982987
Avante,-3.7357977,-38.4904025717601
Partido Verde - Ceará,-3.7456458,-38.50430373759524
MDB,-3.72834585,-38.491197893261294
Partido Democrático Trabalhista | PDT Ceará,-3.7262796,-38.5003948
Partido dos Trabalhadores Diretório Estadual do Ceará,-3.7368896,-38.5352833
Republicanos Ceará,-3.7550056,-38.5518192
Partido Liberal - Comitê de Caucaia,-3.7354033,-38.6583865
PSDB Partido da Social Democracia Brasileira,-3.7401119,-38.4908445
União Brasil Fortaleza,-3.73801705,-38.56220127725775
Coco Bambu,-3.7237569,-38.4874985
Outback Steakhouse,-3.7554302,-38.48876588454546
Carneiro do Ordones,-3.7352047,-38.5496316
Cervejaria Turatti,-3.7326931,-38.4894899
Santa Grelha Iguatemi,-3.7554302,-38.48876588454546
Restaurante Brazão,-3.7207344,-38.5114094
Chico do Caranguejo,-3.75407425,-38.44513401453182
Cantinho do Frango,-3.7343695,-38.5105147
Mangue Azul,-3.7351584,-38.4915725
Misaki,-3.7315851,-38.4892367
