Nome,Colégio Farias Brito Central,Colégio Ari de Sá Cavalcante,Colégio Antares,Colégio Christus,Colégio 7 de Setembro,Colégio Master,Colégio Santo Tomás de Aquino,Colégio Santa Cecília,Colégio Provecto,Colégio Lourenço Filho
Colégio Farias Brito Central,0.0,6.42512331029587,1.4739648854220213,2.6828525407554653,0.9070112374617282,0.930852788962276,4.998620572088619,1.61747907801425,11.46605557527295,2.0623247084003222
Colégio Ari de Sá Cavalcante,6.42512331029587,0.0,5.039647760566029,4.924684712106775,5.551739295876397,7.155355163143001,6.6175599931686,5.774882674612294,10.039701908647507,5.509572564866762
Colégio Antares,1.4739648854220213,5.039647760566029,0.0,2.402237400087312,0.57029519416963,2.115798125133261,4.251485705291084,1.114083404710187,10.440295585839012,1.2653749656120086
Colégio Christus,2.6828525407554653,4.924684712106775,2.402237400087312,0.0,2.3616881690383558,3.6115562246958093,6.592713371615034,3.4696668531264594,12.479942419343244,3.6673854787655142
Colégio 7 de Setembro,0.9070112374617282,5.551739295876397,0.57029519416963,2.3616881690383558,0.0,1.6276226789182162,4.539568445049574,1.1676672225775049,10.858593937323395,1.4941772220922276
Colégio Master,0.930852788962276,7.155355163143001,2.115798125133261,3.6115562246958093,1.6276226789182162,0.0,4.755665490657901,1.7153969246490461,11.315683869186689,2.173900053681281
Colégio Santo Tomás de Aquino,4.998620572088619,6.6175599931686,4.251485705291084,6.592713371615034,4.539568445049574,4.755665490657901,0.0,3.417404735161926,6.569794432605903,3.0455334662195845
Colégio Santa Cecília,1.61747907801425,5.774882674612294,1.114083404710187,3.4696668531264594,1.1676672225775049,1.7153969246490461,3.417404735161926,0.0,9.849036582387605,0.46686325002465273
Colégio Provecto,11.46605557527295,10.039701908647507,10.440295585839012,12.479942419343244,10.858593937323395,11.315683869186689,6.569794432605903,9.849036582387605,0.0,9.416209777337077
Colégio Lourenço Filho,2.0623247084003222,5.509572564866762,1.2653749656120086,3.6673854787655142,1.4941772220922276,2.173900053681281,3.0455334662195845,0.46686325002465273,9.416209777337077,0.0
