Nome,Endereço
Diretório Estadual do Partido Novo Ceará,"Av. Desembargador Moreira, 2120"
Avante,"Av. Dom Luís, 1200"
Partido Verde - Ceará,"R. Assis Chateaubriand, 35 - Dionísio Torres, Fortaleza - CE, 60135-200"
MDB,"R. Júlio Ibiapina, 318 - Meireles, Fortaleza - CE, 60170-220"
Partido Democrático Trabalhista | PDT Ceará,"R. Nunes Valente, 145 - Meireles, Fortaleza - CE, 60125-070"
Partido dos Trabalhadores Diretório Estadual do Ceará,"Av. da Universidade, 2189 - Benfica, Fortaleza - CE, 60020-180"
Republicanos Ceará,"Av. João Pessoa, 6330 - Damas, Fortaleza - CE, 60440-005"
Partido Liberal - Comitê de Caucaia,"Rua Coronel Correia, 839 B"
PSDB Partido da Social Democracia Brasileira,"R. Monsenhor Catão, 947 "
União Brasil Fortaleza,"R. Érico Mota, 243"
