Nome,Latitude,Longitude
Diretório Estadual do Partido Novo Ceará,-3.7361949,-38.4982987
Avante,-3.7357977,-38.4904025717601
Partido Verde - Ceará,-3.7456458,-38.50430373759524
MDB,-3.72834585,-38.491197893261294
Partido Democrático Trabalhista | PDT Ceará,-3.7262796,-38.5003948
Partido dos Trabalhadores Diretório Estadual do Ceará,-3.7368896,-38.5352833
Republicanos Ceará,-3.7550056,-38.5518192
Partido Liberal - Comitê de Caucaia,-3.7354033,-38.6583865
PSDB Partido da Social Democracia Brasileira,-3.7401119,-38.4908445
União Brasil Fortaleza,-3.73801705,-38.56220127725775
